id,basisOfRecord,occurrenceid,scientificname,family,locality,countrycode,barcode,STATION,day,month,year,decimal_latitude,decimal_longitude
50160,preservedSpecimen,urn:mrbif:ens:hnm:50160,Stereospermum kunthianum Cham.,Bignoniaceae,Moudji,MR,HNM00011,Prés de Jedida,26,11,2007,15.0344444,-12.3002778
50163,preservedSpecimen,urn:mrbif:ens:hnm:50163,Stereospermum kunthianum Cham.,Bignoniaceae,Moudji,MR,HNM00012,Prés de Jedida,26,11,2007,15.0344444,-12.3002778
50164,preservedSpecimen,urn:mrbif:ens:hnm:50164,Stereospermum kunthianum Cham.,Bignoniaceae,Moudji,MR,HNM00013,Prés de Jedida,26,11,2007,15.0344444,-12.3002778
50165,preservedSpecimen,urn:mrbif:ens:hnm:50165,Adiantum capillus-veneris L.,Adiantaceae,Ain Ehl Taya,MR,HNM00001,Tergit,27,3,2010,20.2658333,13.0902778
50166,preservedSpecimen,urn:mrbif:ens:hnm:50166,Amaranthus graecizans L.,Amaranthaceae,Effam Likhdheirat,MR,HNM00010,Tamourt Bougari,23,8,2008,16.5411111,-10.77
50167,preservedSpecimen,urn:mrbif:ens:hnm:50167,Alternanthera sessilis (L.) DC.,Amaranthaceae,Nbeika,MR,HNM00009,Tamourt En Naaj,28,11,2007,17.904167,-12.271944
50168,preservedSpecimen,urn:mrbif:ens:hnm:50168,Alternanthera sessilis (L.) DC.,Amaranthaceae,Nbeika,MR,HNM00014,Tamourt En Naaj,28,11,2007,17.904167,-12.271944
50169,preservedSpecimen,urn:mrbif:ens:hnm:50169,Phoenix dactylifera Linn.,Palmae,Kankossa,MR,HNM00008,agmamine 1,17,10,2009,16.016667,-11.533333
50170,preservedSpecimen,urn:mrbif:ens:hnm:50170,Glinus lotoïdes Loefl.,Molluginaceae,Oumoul Kheuz,MR,HNM00007,Dar Edebaye,14,5,2008,17.032222,-10.9625
50171,preservedSpecimen,urn:mrbif:ens:hnm:50171,Glinus lotoïdes Loefl.,Molluginaceae,Oumoul Kheuz,MR,HNM00002,Dar Edebaye,14,5,2008,17.032222,-10.9625
50172,preservedSpecimen,urn:mrbif:ens:hnm:50172,Glinus lotoïdes Loefl.,Molluginaceae,Oumoul Kheuz,MR,HNM00015,Dar Edebaye,14,5,2008,17.032222,-10.9625
50173,preservedSpecimen,urn:mrbif:ens:hnm:50173,Glinus lotoïdes Loefl.,Molluginaceae,Oumoul Kheuz,MR,HNM00016,Dar Edebaye,14,5,2008,17.032222,-10.9625
50174,preservedSpecimen,urn:mrbif:ens:hnm:50174,Adenium obesum (Forssk.) Roem. & Schult.,Apocynaceae,Selibaby,MR,HNM00006,Semakande au sud de Sélibaby,3,12,2009,15.158945880535,-12.1828970609949
50175,preservedSpecimen,urn:mrbif:ens:hnm:50175,Leptadenia hastata (Pers.) Decne.,Asclepiadaceae,KeurMacene,MR,HNM00017,PND,18,3,2009,16.538477,-16.214909
50176,preservedSpecimen,urn:mrbif:ens:hnm:50176,Aristida funiculata Trin. & Rupr.,Gramineae,Kiffa,MR,HNM00018,Tahmeire.Sortie Sud de Kiffa sur la route de Kankossa,9,9,2008,16.5463889,-11.4025
50177,preservedSpecimen,urn:mrbif:ens:hnm:50177,Pandiaka angustifolia (Vahl) Hepper,Amaranthaceae,Tektake,MR,HNM00019,Falaise  del'Assaba,10,9,2008,15.5880556,-11.9319444
50178,preservedSpecimen,urn:mrbif:ens:hnm:50178,Amaranthus graecizans L.,Amaranthaceae,Effam Likhdheirat,MR,HNM00020,Tamourt Bougari,23,8,2008,16.5402778,-10795
50179,preservedSpecimen,urn:mrbif:ens:hnm:50179,Celosia argenta L.,Amaranthaceae,Zneigui,MR,HNM00021,Zneigui,26,11,2007,15125,12.2783333
50180,preservedSpecimen,urn:mrbif:ens:hnm:50180,Celosia argenta L.,Amaranthaceae,Zneigui,MR,HNM00022,Zneigui,26,11,2007,15125,12.2783333
50181,preservedSpecimen,urn:mrbif:ens:hnm:50181,Celosia argenta L.,Amaranthaceae,Zneigui,MR,HNM00023,Zneigui,26,11,2007,15125,12.2783333
50182,preservedSpecimen,urn:mrbif:ens:hnm:50182,Aerva javanica (Burm.) Juss. ex Schult.,Amaranthaceae,Egjert,MR,HNM00024,Egjert,23,8,2008,16.6286111,9.4408333
50183,preservedSpecimen,urn:mrbif:ens:hnm:50183,Alternanthera nodiflora R.Br.,Amaranthaceae,Zneigui,MR,HNM00025,"Zneigui, oued",26,11,2007,11125,-12.2783333
50184,preservedSpecimen,urn:mrbif:ens:hnm:50184,Alternanthera nodiflora R.Br.,Amaranthaceae,Selibaby,MR,HNM00026,oued Moudji,26,11,2007,15.0344444,-12.3011111
50185,preservedSpecimen,urn:mrbif:ens:hnm:50185,Alternanthera nodiflora R.Br.,Amaranthaceae,Selibaby,MR,HNM00027,oued Moudji,26,11,2007,15.0344444,-12.3011111
50186,preservedSpecimen,urn:mrbif:ens:hnm:50186,Alternanthera nodiflora R.Br.,Amaranthaceae,Selibaby,MR,HNM00028,oued Moudji,26,11,2007,15.0344444,-12.3011111
50187,preservedSpecimen,urn:mrbif:ens:hnm:50187,Achyranthes aspera L.,Amaranthaceae,Twil,MR,HNM00029,Achweyiv,8,9,2007,15.6041667,10.2208333
50188,preservedSpecimen,urn:mrbif:ens:hnm:50188,Achyranthes aspera L.,Amaranthaceae,Twil,MR,HNM00030,Achweyiv,8,9,2007,15.6041667,10.2208333
50189,preservedSpecimen,urn:mrbif:ens:hnm:50189,Alternanthera nodiflora R.Br.,Amaranthaceae,Selibaby,MR,HNM00031,oued Moudji,26,11,2007,15.0344444,-12.3011111
50190,preservedSpecimen,urn:mrbif:ens:hnm:50190,Alternanthera nodiflora R.Br.,Amaranthaceae,Zneigui,MR,HNM00032,"Zneigui, oued",26,11,2007,11125,-12.2783333
50191,preservedSpecimen,urn:mrbif:ens:hnm:50191,Alternanthera nodiflora R.Br.,Amaranthaceae,Zneigui,MR,HNM00033,"Zneigui, oued",26,11,2007,11125,-12.2783333
50192,preservedSpecimen,urn:mrbif:ens:hnm:50192,Sclerocarya birrea (A. Rich.) Hochst.,Anacardiaceae,Kobenni,MR,HNM00034,Entre Chara et Tirtayga,25,11,2007,15.817222,-9.365278
50193,preservedSpecimen,urn:mrbif:ens:hnm:50193,Sclerocarya birrea (A. Rich.) Hochst.,Anacardiaceae,Kobenni,MR,HNM00035,Entre Chara et Tirtayga,25,11,2007,15.817222,-9.365278
50194,preservedSpecimen,urn:mrbif:ens:hnm:50194,Sclerocarya birrea (A. Rich.) Hochst.,Anacardiaceae,Kobenni,MR,HNM00036,Entre Chara et Tirtayga,25,11,2007,15.817222,-9.365278
