Panicum leatum ,Panicum laetum Kunth,SPECIES,Poaceae,Panicum laetum,89,FUZZY
Sporobolus  sp ,,,,,100,NONE
Aeluropus sp,,,,,100,NONE
Andropogon  ravannae L .,Andropogon ravennae L.,SPECIES,Poaceae,Andropogon ravennae,88,FUZZY
Andropogon annulatus  Forskal ,Andropogon annulatus J.A.Schmidt,SPECIES,Poaceae,Andropogon annulatus,100,EXACT
Andropogon gayanus ,Andropogon gayanus Kunth,SPECIES,Poaceae,Andropogon gayanus,100,EXACT
Andropogon gayanus  Kunth,Andropogon gayanus Kunth,SPECIES,Poaceae,Andropogon gayanus,100,EXACT
Andropogon pinguipes Stapf,Andropogon pinguipes Stapf,SPECIES,Poaceae,Andropogon pinguipes,100,EXACT
Andropogon sp,,,,,100,NONE
Andropogon sp ,,,,,100,NONE
Arachis sp ,,,,,100,NONE
Aristada sp ,,,,,100,NONE
Aristada  funiculata  Trin et Rupr,Aristida funiculata Trin. & Rupr.,SPECIES,Poaceae,Aristida funiculata,80,FUZZY
Aristada adscensiionis L .,Aristida adscensionis L.,SPECIES,Poaceae,Aristida adscensionis,88,FUZZY
Aristada funiculata  Trin et Thom,Aristida funiculata Trin. & Rupr.,SPECIES,Poaceae,Aristida funiculata,80,FUZZY
Aristada longiflora  Schm et Thom,,,,,100,NONE
Aristada mitabilis Trin et Thom,Aristida mutabilis Trin. & Rupr.,SPECIES,Poaceae,Aristida mutabilis,92,FUZZY
Aristada plumosa ,Aristida plumosa L.,SPECIES,Poaceae,Aristida plumosa,90,FUZZY
Aristada sp,,,,,100,NONE
Aristada stipodes Lam.,Aristida stipoides Lam.,SPECIES,Poaceae,Aristida stipoides,88,FUZZY
Astragolys vogelis (webb),,,,,100,NONE
Brachiaria sp ,,,,,100,NONE
Brachiaria  xantholeuca (Hackel.ex Schinz),Brachiaria xantholeuca (Schinz) Stapf,SPECIES,Poaceae,Brachiaria xantholeuca,100,EXACT
Brachiaria mutica ,Brachiaria mutica (Forssk.) Stapf,SPECIES,Poaceae,Brachiaria mutica,100,EXACT
Brachiaria ramosa Stapf,Brachiaria ramosa (L.) Stapf,SPECIES,Poaceae,Brachiaria ramosa,100,EXACT
Brachiaria sp ,,,,,100,NONE
Cechrus biflorus Roxb,Cenchrus biflorus Roxb.,SPECIES,Poaceae,Cenchrus biflorus,94,FUZZY
Cenchrus  biflosus ,Cenchrus biflorus Roxb.,SPECIES,Poaceae,Cenchrus biflorus,90,FUZZY
Cenchrus  sp,,,,,100,NONE
Cenchrus biflorus ,Cenchrus biflorus Roxb.,SPECIES,Poaceae,Cenchrus biflorus,100,EXACT
Cenchrus biflorus  Roxb ,Cenchrus biflorus Roxb.,SPECIES,Poaceae,Cenchrus biflorus,100,EXACT
Cenchrus ciliaris L .,Cenchrus ciliaris L.,SPECIES,Poaceae,Cenchrus ciliaris,100,EXACT
Cenchrus pilosa ,Cenchrus pilosus Kunth,SPECIES,Poaceae,Cenchrus pilosus,95,FUZZY
Cenchrus prieurii,Cenchrus prieurii (Kunth) Maire,SPECIES,Poaceae,Cenchrus prieurii,99,EXACT
Cenchrus prieurii  Maire ,Cenchrus prieurii (Kunth) Maire,SPECIES,Poaceae,Cenchrus prieurii,99,EXACT
Cenchrus sp,,,,,100,NONE
Centropodia forskalii,Centropodia forskalii (Vahl) Cope,SPECIES,Poaceae,Centropodia forskalii,100,EXACT
Centropodia forskalii (Vahl),Centropodia forskalii (Vahl) Cope,SPECIES,Poaceae,Centropodia forskalii,100,EXACT
Chloris  sp,,,,,100,NONE
Chloris barbata (L) Swartz,Chloris barbata Sw.,SPECIES,Poaceae,Chloris barbata,100,EXACT
Chloris pilosa  Schu et Thom,Chloris pilosa Schumach. & Thonn.,SPECIES,Poaceae,Chloris pilosa,100,EXACT
Chloris prieurii ,Chloris prieurii Kunth,SPECIES,Poaceae,Chloris prieurii,100,EXACT
Chloris prieurii Kunth,Chloris prieurii Kunth,SPECIES,Poaceae,Chloris prieurii,100,EXACT
Chlorus prieurii,Chloris prieurii Kunth,SPECIES,Poaceae,Chloris prieurii,86,FUZZY
Cymbogon schoenanthus  L .,Cymbopogon schoenanthus (L.) Spreng.,SPECIES,Poaceae,Cymbopogon schoenanthus,88,FUZZY
Cymbogon schoenanthus Spreng,Cymbopogon schoenanthus (L.) Spreng.,SPECIES,Poaceae,Cymbopogon schoenanthus,88,FUZZY
Cymbopogon schoenanthus  ,Cymbopogon schoenanthus (L.) Spreng.,SPECIES,Poaceae,Cymbopogon schoenanthus,100,EXACT
Cymbopogon schoenanthus  (L) Spreng,Cymbopogon schoenanthus (L.) Spreng.,SPECIES,Poaceae,Cymbopogon schoenanthus,100,EXACT
Cymbopogon schoenanthus  Spreng,Cymbopogon schoenanthus (L.) Spreng.,SPECIES,Poaceae,Cymbopogon schoenanthus,100,EXACT
Cymbopogon schoenanthus (L),Cymbopogon schoenanthus (L.) Spreng.,SPECIES,Poaceae,Cymbopogon schoenanthus,100,EXACT
Cynodon dactylon (L)Pers,Cynodon dactylon (L.) Pers.,SPECIES,Poaceae,Cynodon dactylon,100,EXACT
Cyperus conglomeratus  ,Cyperus conglomeratus Rottb.,SPECIES,Cyperaceae,Cyperus conglomeratus,100,EXACT
Dactyloctenium aegyptium Beauv.,Dactyloctenium aegyptium (L.) Willd.,SPECIES,Poaceae,Dactyloctenium aegyptium,100,EXACT
Danthonia forsalii(Vahl) R.BR ,Danthonia forskalii Trin.,SPECIES,Poaceae,Danthonia forskalii,90,FUZZY
Dichanthium foveolatum (Del),Dichanthium foveolatum (Delile) Roberty,SPECIES,Poaceae,Dichanthium foveolatum,100,EXACT
