id;family;name;nameFR;regions;abundance
1;Podicipedidae;Tachybaptus ruficollis;Grèbe castagneux;Paléarctique;Peu commune
2;Podicipedidae;Podiceps nigricollis;Grèbe à cou noir;Paléarctique;Fréquente
3;Pelecanidae;Pelecanus onocrotalus;Pélican blanc;Paléarctique / Afrotropicale;Abondante
4;Pelecanidae;Pelecanus sp.;Pélican roussâtre;Afrotropical;Commune
5;Sulidae;Sula bassana;Fou de bassan;Paléarctique;Commune
6;Phalacrocoracidae;Phalacrocorax carbo ssp.lucidus;Grand cormoran ;Afrotropicale;Abondante
7;Phalacrocoracidae;Phalacrocorax africanus;Cormoran africain;Paléarctique;Abondante
8;Phalacrocoracidae;Anhinga rufa;Anhinga roux;Espèce résidente;Rare
9;Ardeidae;Nycticorax nycticorax;Bihoreau gris;"Paléarctique/
Résidente";Abondante
10;Ardeidae;Ardeola ralloides;Crabier chevelu;"Paléarctique/
Résidente";Abondante
11;Ardeidae;Butorides striatus;Héron à dos vert;Espèce résidente;Commune
12;Ardeidae;Egretta ardesiaca;Aigrette ardoisée;Espèce résidente;Rare
13;Ardeidae;Mesophyx intermedia;Aigrette intermédiaire;Paléarctique;Rare
14;Ardeidae;Ardea melanocephala;Héron mélanocéphale;Paléarctique;Rare ou Accidentelle
15;Ardeidae;Egretta alba ssp. melanorhynchos;Grande aigrette;Afrotropicale;Peu commune
16;Ardeidae;Egretta garzetta;Aigrette garzette;Paléarctique /Afrotropicale;Assez commune
17;Ardeidae;Egretta gularis;Aigrette dimorphe;Afrotropicale;Assez commune
18;Ardeidae;Ardea cinerea ;Héron cendré;Paléarctique;Assez commune
19;Ardeidae;Ardea purpurea;Héron pourpré;Paléarctique;Peu commune
20;Ciconiidae;Mycteria ibis;Tantale ibis;Espèce résidente;Abondante
21;Ciconiidae;Ciconia nigra;Cigogne noire;Paléarctique;Fréquente
22;Ciconiidae;Ciconia ciconia;Cigogne blanche;Paléarctique;Rare
23;Treskiornithidae;Platalea leucorodia ;Spatule blanche;"Paléarctique/
Afrotropicale";Abondante
