family;genus;id;name
CAESALPINOIDEAE;BAUHINIA;1;Bauhinia rufescens Lam
CAESALPINOIDEAE;CAESALPINIA;2;Caesalpinia pulcherima (L.) Swartz
CAESALPINOIDEAE;CASSIA;3;Cassia sieberiana DC.
CAESALPINOIDEAE;CHAMAECRISTA;4;Chamaecrista absus (L.) H.S. Irwin &
CAESALPINOIDEAE;CHAMAECRISTA;5;Chamaecrista telfairiana (Hook.f.) Lock 
CAESALPINOIDEAE;CHAMAECRISTA;6;Chamaecrista nigricans (Vahl) Greene
CAESALPINOIDEAE;CORDYLA;7;Cordyla pinnata (Lepr. ex A.Rich.) Milne-Redh.
CAESALPINOIDEAE;CYNOMETRA;8;Cynometra vogelii Hook.F.
CAESALPINOIDEAE;DELONIX;9;Delonix regia (Bojer ex Hook.) Raf.
CAESALPINOIDEAE;ERYTHROPHLEUM;10;Erythrophleum suaveolens (Guill. & Perr.) Brenan
CAESALPINOIDEAE;PARKINSONIA;11;Parkinsonia aculeata(Linn)
CAESALPINOIDEAE;PILIOSTIGMA;12;Piliostigma reticulatum (DC)Hocht.
CAESALPINOIDEAE;SENNA;13;Senna alexandrina Miller
CAESALPINOIDEAE;SENNA;14;Senna italica Mill.
CAESALPINOIDEAE;SENNA;15;Senna obtusifolia (L.) H.S.Irwin & Barneby 
CAESALPINOIDEAE;SENNA;16;Senna occidentalis (L.) Link
CAESALPINOIDEAE;SENNA;17;Senna siamea (Lam.) H.S. Irwin & Barneby
CAESALPINOIDEAE;TAMARINDUS;18;Tamarindus indica L.
FABOIDEAE;ABRUS;19;Abrus precatorius L.
FABOIDEAE;AESCHYNOMENE;20;Aeschynomene afraspera (L.) J. Leonard
FABOIDEAE;AESCHYNOMENE;21;Aeschynomene elaphroxylon (Guill. et Perr.) Taub. 
FABOIDEAE;AESCHYNOMENE ;22;Aeschynomene indica L.
FABOIDEAE;ALYSICARPUS;23;Alysicarpus ovalifolius (K. Schum. & Thonn.) J. Leonard
FABOIDEAE;ARACHIS;24;Arachis hypogea L.
FABOIDEAE;ARACHIS;25;Argyrolobium arabicum (Decne) Jaub. & Spach.
FABOIDEAE;ARGYROLOBIUM;26;Argyrolobium uniflorum Jaub. & Spach.
FABOIDEAE;ASTRAGALUS;27;Astragalus akkensis Cosson
FABOIDEAE;ASTRAGALUS;28;Astragalus eremophilus Boiss. subsp. eremophilus 
FABOIDEAE;ASTRAGALUS;29;Astragalus mareoticus Delile
FABOIDEAE;ASTRAGALUS;30;Astragalus pseudotrigonus Batt. et Trab.
FABOIDEAE;ASTRAGALUS;31;Astragalus vogelii (Webb) Bornm.
