1,Atelerix albiventris,Wagner,1841,Hérisson à ventre blanc,"Atelerix albiventris (Wagner, 1841)",SPECIES,Erinaceidae,Atelerix albiventris,100,EXACT
2,Paraechinus aethiopicus,Ehrenberg,1832,Hérisson du désert,"Paraechinus aethiopicus (Ehrenberg, 1832)",SPECIES,Erinaceidae,Paraechinus aethiopicus,100,EXACT
3,Crocidura fuscomurina,Heuglin,1865,,"Crocidura fuscomurina (Heuglin, 1865)",SPECIES,Soricidae,Crocidura fuscomurina,100,EXACT
4,Crocidura lusitanica,,,,"Crocidura lusitania Dollman, 1915",SPECIES,Soricidae,Crocidura lusitania,95,FUZZY
5,Crocidura nanilla,Thomas,1909,,"Crocidura nanilla Thomas, 1909",SPECIES,Soricidae,Crocidura nanilla,100,EXACT
6,Crocidura  tarfayensis,Vesmanis & Vesmanis,1980,Crocidure du Sahara,"Crocidura tarfayensis Vesmanis & Vesmanis, 1980",SPECIES,Soricidae,Crocidura tarfayensis,100,EXACT
7,Crocidura viara,Geoffroy,1834,,"Crocidura viaria (I. Geoffroy Saint-Hilaire, 1834)",SPECIES,Soricidae,Crocidura viaria,92,FUZZY
8,Canis aureus,Linnaeus,1758,Chacal doré,"Canis aureus Linnaeus, 1758",SPECIES,Canidae,Canis aureus,100,EXACT
9,Vulpes  zedra,Zimmermann,1780,Fennec,"Vulpes zerda (Zimmermann, 1780)",SPECIES,Canidae,Vulpes zerda,95,FUZZY
10,Vulpes pallida,Cretzschmar,1826,Renard Pâle,"Vulpes pallida (Cretzschmar, 1826)",SPECIES,Canidae,Vulpes pallida,100,EXACT
11,Vulpes rueppei,Schinz,1825,Renard de Rüppell,"Vulpes rueppelli (Schinz, 1825) [orth. error]",SPECIES,Canidae,Vulpes rueppelli,89,FUZZY
12,Crocuta crocuta,Erxleben,1777,Hyène tachetée,"Crocuta crocuta (Erxleben, 1777)",SPECIES,Hyaenidae,Crocuta crocuta,100,EXACT
13,Hyaena Hyaena,Linnaeus,1758,Hyène rayée,,,,,100,NONE
14,Acinonyx jubatus,Schreber,1775,Guépard,"Acinonyx jubatus (Schreber, 1775)",SPECIES,Felidae,Acinonyx jubatus,100,EXACT
15,Caracal caracal,Schreber,1776,Lynx,"Caracal caracal (Schreber, 1776)",SPECIES,Felidae,Caracal caracal,100,EXACT
16,Felis Lybica,Froster,1780,Chat sauvage,"Felis Linnaeus, 1758",GENUS,Felidae,Felis,96,EXACT
17,Felis margarita,Loche,1858,Chat des sables,"Felis margarita Loche, 1858",SPECIES,Felidae,Felis margarita,100,EXACT
18,Leptailurus serval,Schreber,1776,Serval,"Leptailurus serval (Schreber, 1776)",SPECIES,Felidae,Leptailurus serval,100,EXACT
19,Panthera pardus,Linnaeus,1758,Léopard,"Panthera pardus (Linnaeus, 1758)",SPECIES,Felidae,Panthera pardus,100,EXACT
20,Monachus monachus,Hermann,1779,Phoque moine,"Monachus monachus (Hermann, 1779)",SPECIES,Phocidae,Monachus monachus,100,EXACT
21,Aonyx Capensis,Schinz,1821,Loutre à joues blanches,"Aonyx Lesson, 1827",GENUS,Mustelidae,Aonyx,96,EXACT
22,Herpestes ichneumon,Linnaeus,1758,Rat des pharaons,"Herpestes ichneumon (Linnaeus, 1758)",SPECIES,Herpestidae,Herpestes ichneumon,100,EXACT
23,Herpestes sanguinea,Ruppell,1836,Mangouste rouge,"Herpestes sanguineus (Rüppell, 1835)",SPECIES,Herpestidae,Herpestes sanguineus,95,FUZZY
24,Ictonyx ibyca,Hemprich et Ehrenberg,1833,Zorille de Libye,"Ictonyx libyca (Hemprich & Ehrenberg, 1833)",SPECIES,Mustelidae,Ictonyx libyca,94,FUZZY
25,Ictonyx striatus,Perry,1810,Zorille commune,"Ictonyx striatus (Perry, 1810)",SPECIES,Mustelidae,Ictonyx striatus,100,EXACT
26,Ichneumia albicauda,Cuvier,1829,Mangouste à queue blanche,"Ichneumia albicauda (G. Baron Cuvier, 1829)",SPECIES,Herpestidae,Ichneumia albicauda,100,EXACT
27,Melivora Capensis,Schreber,1776,Ratel ou Zorille du Cap,"Melivora Gray, 1847",GENUS,Mustelidae,Melivora,93,EXACT
28,Civettictis civetta,Schreber,1776,Civette africaine,"Civettictis civetta (Schreber, 1776)",SPECIES,Viverridae,Civettictis civetta,100,EXACT
29,Genetta genetta,Linnaeus,1758,Genette commune,"Genetta genetta (Linnaeus, 1758)",SPECIES,Viverridae,Genetta genetta,100,EXACT
30,Orycterepus afer,Pallas,1766,Oryctérope du Cap,"Orycteropus afer (Pallas, 1766)",SPECIES,Orycteropodidae,Orycteropus afer,89,FUZZY
