,Cynoglossus canariensis  ,"Cynoglossus canariensis Steindachner, 1882",SPECIES,Cynoglossidae,Cynoglossus canariensis,100,EXACT
,Cynoglossus cadenati,"Cynoglossus cadenati Chabanaud, 1947",SPECIES,Cynoglossidae,Cynoglossus cadenati,100,EXACT
,Cynoglossus monodi,"Cynoglossus monodi Chabanaud, 1949",SPECIES,Cynoglossidae,Cynoglossus monodi,100,EXACT
,Cynoglossus senegalensis,"Cynoglossus senegalensis (Kaup, 1858)",SPECIES,Cynoglossidae,Cynoglossus senegalensis,100,EXACT
,Dicologoglossa cuneata  ,"Dicologoglossa cuneata (Moreau, 1881)",SPECIES,Soleidae,Dicologoglossa cuneata,100,EXACT
,Solea senegalensis ,"Solea senegalensis Kaup, 1858",SPECIES,Soleidae,Solea senegalensis,100,EXACT
,Solea vulgaris   ,"Solea vulgaris (non Quensel, 1806)",SPECIES,Soleidae,Solea vulgaris,100,EXACT
,Solea lascaris   ,"Solea lascaris (Risso, 1810)",SPECIES,Soleidae,Solea lascaris,100,EXACT
,Synaptura cadenati ,"Synaptura cadenati Chabanaud, 1948",SPECIES,Soleidae,Synaptura cadenati,100,EXACT
,Synaptura lusitanica,"Synaptura lusitanica de Brito Capello, 1868",SPECIES,Soleidae,Synaptura lusitanica,100,EXACT
,Sparus aurigua (Pagrus aurigua): ,"Sparus auriga (Valenciennes, 1843)",SPECIES,Sparidae,Sparus auriga,95,FUZZY
,Diplodus cervinus ,"Diplodus cervinus (Lowe, 1838)",SPECIES,Sparidae,Diplodus cervinus,100,EXACT
,Diplodus puntazzo ,"Diplodus puntazzo (Walbaum, 1792)",SPECIES,Sparidae,Diplodus puntazzo,100,EXACT
,Diplodus vulgaris  ,"Diplodus vulgaris (Geoffroy Saint-Hilaire, 1817)",SPECIES,Sparidae,Diplodus vulgaris,100,EXACT
,Diplodus bellotti,"Diplodus bellottii (Steindachner, 1882)",SPECIES,Sparidae,Diplodus bellottii,95,FUZZY
,Lithognathus mormyrus ,"Lithognathus mormyrus (Linnaeus, 1758)",SPECIES,Sparidae,Lithognathus mormyrus,100,EXACT
,Pagellus acarne  ,"Pagellus acarne (Risso, 1827)",SPECIES,Sparidae,Pagellus acarne,100,EXACT
,Pagellus bellotti,"Pagellus bellotti Steindachner, 1882",SPECIES,Sparidae,Pagellus bellotti,99,EXACT
,Pagellus erythrinus,"Pagellus erythrinus (Linnaeus, 1758)",SPECIES,Sparidae,Pagellus erythrinus,100,EXACT
,Pagellus bogaraveo ,"Pagellus bogaraveo (Brünnich, 1768)",SPECIES,Sparidae,Pagellus bogaraveo,100,EXACT
,Pagrus aurigua (Sparus aurigua ): ,"Pagrus auriga Valenciennes, 1843",SPECIES,Sparidae,Pagrus auriga,95,FUZZY
,Pagrus caeruleostictus (sparus ehrenbergii),"Pagrus caeruleostictus (Valenciennes, 1830)",SPECIES,Sparidae,Pagrus caeruleostictus,100,EXACT
,Sparus auratus ,"Sparus auratus Linnaeus, 1758",SPECIES,Sparidae,Sparus auratus,99,EXACT
,Sarpa salpa  ,"Sarpa salpa (Linnaeus, 1758)",SPECIES,Sparidae,Sarpa salpa,100,EXACT
,Boops boops,"Boops boops (Linnaeus, 1758)",SPECIES,Sparidae,Boops boops,100,EXACT
,Dentex canariensis,"Dentex canariensis Steindachner, 1881",SPECIES,Sparidae,Dentex canariensis,100,EXACT
,Dentex gibbosus,"Dentex gibbosus (Rafinesque, 1810)",SPECIES,Sparidae,Dentex gibbosus,100,EXACT
,Dentex dentex,"Dentex dentex (Linnaeus, 1758)",SPECIES,Sparidae,Dentex dentex,100,EXACT
,Spondyliosoma cantharus ,"Spondyliosoma cantharus (Linnaeus, 1758)",SPECIES,Sparidae,Spondyliosoma cantharus,100,EXACT
,Dentex macrophthalmus,"Dentex macrophthalmus (Bloch, 1791)",SPECIES,Sparidae,Dentex macrophthalmus,100,EXACT
,Dentex maroccanus ,"Dentex maroccanus Valenciennes, 1830",SPECIES,Sparidae,Dentex maroccanus,100,EXACT
,Epinephelus aeneus  ,"Epinephelus aeneus (Geoffroy Saint-Hilaire, 1817)",SPECIES,Serranidae,Epinephelus aeneus,100,EXACT
,Epinephelus costae,"Epinephelus costae (Steindachner, 1878)",SPECIES,Serranidae,Epinephelus costae,100,EXACT
,Epinephelus caninus,"Epinephelus caninus (Valenciennes, 1843)",SPECIES,Serranidae,Epinephelus caninus,100,EXACT
,Epinephelus alexandrinus,"Epinephelus alexandrinus (non Valenciennes, 1828)",SPECIES,Serranidae,Epinephelus alexandrinus,100,EXACT
,Epinephelus goreenesis ,"Epinephelus goreensis (Valenciennes, 1830)",SPECIES,Serranidae,Epinephelus goreensis,95,FUZZY
,Epinephelus guaza  ,"Epinephelus guaza (not of Linnaeus, 1758)",SPECIES,Serranidae,Epinephelus guaza,99,EXACT
,Mycreoperca rubra,"Mycteroperca rubra (Bloch, 1793)",SPECIES,Serranidae,Mycteroperca rubra,92,FUZZY
,Octopus vulgaris ,"Octopus vulgaris Cuvier, 1797",SPECIES,Octopodidae,Octopus vulgaris,100,EXACT
,Loligo vulgaris,"Loligo vulgaris Lamarck, 1798",SPECIES,Loliginidae,Loligo vulgaris,100,EXACT
,Sepia bertheloti ,"Sepia bertheloti D'Orbigny, 1835 in Férussac and D'Orbigny, 1834-, 1848",SPECIES,Sepiidae,Sepia bertheloti,100,EXACT
,Sepia officinalis,"Sepia officinalis Linnaeus, 1758",SPECIES,Sepiidae,Sepia officinalis,100,EXACT
,Penaeus notialis ,"Penaeus notialis Pérez Farfante, 1967",SPECIES,Penaeidae,Penaeus notialis,100,EXACT
,Penaeus kerathurus ,"Penaeus kerathurus (Forskål, 1775)",SPECIES,Penaeidae,Penaeus kerathurus,100,EXACT
,Penaeus duorarum,"Penaeus duorarum Burkenroad, 1939",SPECIES,Penaeidae,Penaeus duorarum,100,EXACT
,Parapenaeus longirostris ,"Parapenaeus longirostris (Lucas, 1846)",SPECIES,Penaeidae,Parapenaeus longirostris,100,EXACT
,Panulirus regius ,"Panulirus regius De Brito Capello, 1864",SPECIES,Palinuridae,Panulirus regius,100,EXACT
,Raja miraletus ,"Raja miraletus Linnaeus, 1758",SPECIES,Rajidae,Raja miraletus,100,EXACT
,Raja clavata ,"Raja clavata Linnaeus, 1758",SPECIES,Rajidae,Raja clavata,100,EXACT
,Mustelus mustelus ,"Mustelus mustelus (Linnaeus, 1758)",SPECIES,Triakidae,Mustelus mustelus,100,EXACT
