id;name;family
;Acacia ehrenbergiana;Minosaceae
;Acacia nilotica;Minosaceae
;Acacia senegal;Mimosaceae
;Acacia seyal;Mimosaceae
;Acacia tortilis var. tortilis;Mimosaseae
;Achyrantes aspera;Amaranthaceae
;Adansonia digitata;Bombacaceae
;Adenum obesum;Apocynaceae
;Aerva persica;Amaranthaceae
;Anogeisus leocarpus;Combretaceae
;Arachis hypogea;Fabaceae
;Astragalis vogelii;Fabaceae
;Azadirachta indica;Meliaceae
;Balanites aegyptiaca;Zygophyllaceae
;Bauhinia rufescens;Ceasalpiniaceae
;Boscia angustifolia;Capparidaceae
;Boscia senegalensis;Capparidaceae
;Calotropis procera;Asclepiadaceae
;Capparis decidua;Capparidaceae
;Cassia acutifolia;Ceasalpiniaceae
;Cassia italica;Ceasalpiniaceae
;Cassia occidentalis;Ceasalpiniaceae
;Cassia tora;Ceasalpiniaceae
;Celtis integrifolia ;Ulmaceae
;Cistanche phelipea;Orobanchaceae
;Citrullus colocynthis;Cucurbitaceae
;Citrullus lanatus;Cucurbitaceae
;Cleome brachycarpa;Capparidaceae
;Combretum glutinosum;Combretaceae
;Combretum micranthum;Combretaceae
;Commiphora africana;Burseraceae
;Corchorus depressus;Tiliaceae
;Corchorus olitorius;Tiliaceae
;Corchorus tridens;Tiliaceae
;Cucumus propheratum;Cucurbitaceae
;Cynomorium coccineum;Cynomoraceae
;Desmidorchis acutangula;Asclepiadaceae
;Euphorbia balsamifera;Euphorbiaceae
;Euphorbia hirta;Euphorbiaceae
;Euphorbia scordifolia;Euphorbiaceae
;Fagonia arabica;Zygophyllaceae
;Grewia bicolor;Tiliaceae
;Guiera senegalensis;Combretaceae
;Hordum vulgare;Gramineae
;Hyoscyamus muticus;Solanaceae
;Hyphanea Thebaica;Arecaceae
;Jatropha chevalieri;Euphorbiaceae
;Lawsonia inermis;Lithraceae
;Leptadenia hastata;Asclepiadaceae
;Leptadenia pyrotechnica;Asclepiadaceae
;Lotus roudaieri;Fabaceae
;Maerua crassifolia;Capparidaceae
;Maytenus senegalensis;Celastraceae
;Mentha viridis;Lamiaceae
;Momordica balsamina;Cucurbitaceae
;Nitraria retusa;Zygophyllaceae
;Nucularia perrini;Chenopodiaceae
;Nymphea lotus;Nympheaceae
;Oryza sativa;Poaceae
;Panicum turgidum;Poaceae
;Pennisetum tiphoides;Poaceae
;Pergularia tomentosa;Asclepiadaceae
;Phoenix dactylifera;Arecaceae
;Piliostigma recticulum;Casesalpiniaceae
;Psoralea plicata;Fabaceae
;Pulicaria mauritanica;Asteraceae
;Ricinus communus;Euphorbiaceae
;Salvadora persica;Salvadoraceae
;Sclerocarya birrea;Anacardiaceae
;Scoparia dulcis L .;Scrophulariaceae
;Sorghum cernum;Poaceae
;Sorghum gambicum;Poaceae
;Sterculia setigera;Sterculiaceae
;Stipagrostis pungens;Poaceae
;Tamarindus indica;Casesalpiniaceae
;Tapinanthus sp.;Loranthaceae
;Terminalia macroptera;Combretaceae
;Vigna sinensis;Fabaceae
;Zea mays;Gramineae
;Ziziphus lotus;Rhamnaceae
;Ziziphus mauritania;Rhamnaceae
