,Acacia ehrenbergiana,Minosaceae,Acacia ehrenbergiana Hayne,SPECIES,Fabaceae,Acacia ehrenbergiana,100,EXACT
,Acacia nilotica,Minosaceae,Acacia nilotica (L.) Delile,SPECIES,Fabaceae,Acacia nilotica,100,EXACT
,Acacia senegal,Mimosaceae,Acacia senegal (L.) Willd.,SPECIES,Fabaceae,Acacia senegal,100,EXACT
,Acacia seyal,Mimosaceae,Acacia seyal Delile,SPECIES,Fabaceae,Acacia seyal,100,EXACT
,Acacia tortilis var. tortilis,Mimosaseae,Acacia tortilis (Forssk.) Hayne,SPECIES,Fabaceae,Acacia tortilis,100,EXACT
,Achyrantes aspera,Amaranthaceae,Achyranthes aspera L.,SPECIES,Amaranthaceae,Achyranthes aspera,92,FUZZY
,Adansonia digitata,Bombacaceae,Adansonia digitata L.,SPECIES,Malvaceae,Adansonia digitata,100,EXACT
,Adenum obesum,Apocynaceae,Adenium obesum (Forssk.) Roem. & Schult.,SPECIES,Apocynaceae,Adenium obesum,90,FUZZY
,Aerva persica,Amaranthaceae,Aerva persica Merr.,SPECIES,Amaranthaceae,Aerva persica,100,EXACT
,Anogeisus leocarpus,Combretaceae,Anogeissus leiocarpa Guill. & Perr.,SPECIES,Combretaceae,Anogeissus leiocarpa,85,FUZZY
,Arachis hypogea,Fabaceae,"Arachis hypogea L., 1753",SPECIES,Fabaceae,Arachis hypogea,100,EXACT
,Astragalis vogelii,Fabaceae,,,,,100,NONE
,Azadirachta indica,Meliaceae,Azadirachta indica A. Juss.,SPECIES,Meliaceae,Azadirachta indica,100,EXACT
,Balanites aegyptiaca,Zygophyllaceae,Balanites aegyptiaca (L.) Delile,SPECIES,Zygophyllaceae,Balanites aegyptiaca,99,EXACT
,Bauhinia rufescens,Ceasalpiniaceae,Bauhinia rufescens Lam.,SPECIES,Fabaceae,Bauhinia rufescens,100,EXACT
,Boscia angustifolia,Capparidaceae,Boscia angustifolia A.Rich.,SPECIES,Capparaceae,Boscia angustifolia,100,EXACT
,Boscia senegalensis,Capparidaceae,Boscia senegalensis (Pers.) Lam.,SPECIES,Capparaceae,Boscia senegalensis,100,EXACT
,Calotropis procera,Asclepiadaceae,Calotropis procera (Aiton) W.T. Aiton,SPECIES,Apocynaceae,Calotropis procera,100,EXACT
,Capparis decidua,Capparidaceae,Capparis decidua Pax,SPECIES,Capparaceae,Capparis decidua,100,EXACT
,Cassia acutifolia,Ceasalpiniaceae,Cassia acutifolia Delile,SPECIES,Fabaceae,Cassia acutifolia,100,EXACT
,Cassia italica,Ceasalpiniaceae,Cassia italica (Mill.) Spreng.,SPECIES,Fabaceae,Cassia italica,100,EXACT
,Cassia occidentalis,Ceasalpiniaceae,Cassia occidentalis L.,SPECIES,Fabaceae,Cassia occidentalis,100,EXACT
,Cassia tora,Ceasalpiniaceae,Cassia tora L.,SPECIES,Fabaceae,Cassia tora,100,EXACT
,Celtis integrifolia ,Ulmaceae,Celtis integrifolia Lam.,SPECIES,Cannabaceae,Celtis integrifolia,100,EXACT
,Cistanche phelipea,Orobanchaceae,Cistanche phelipaea Cout.,SPECIES,Orobanchaceae,Cistanche phelipaea,90,FUZZY
,Citrullus colocynthis,Cucurbitaceae,Citrullus colocynthis (L.) Schrad.,SPECIES,Cucurbitaceae,Citrullus colocynthis,100,EXACT
,Citrullus lanatus,Cucurbitaceae,Citrullus lanatus (Thunb.) Matsum. & Nakai,SPECIES,Cucurbitaceae,Citrullus lanatus,100,EXACT
,Cleome brachycarpa,Capparidaceae,Cleome brachycarpa Vahl ex DC.,SPECIES,Cleomaceae,Cleome brachycarpa,100,EXACT
,Combretum glutinosum,Combretaceae,Combretum glutinosum Perr. ex DC.,SPECIES,Combretaceae,Combretum glutinosum,100,EXACT
,Combretum micranthum,Combretaceae,Combretum micranthum G.Don,SPECIES,Combretaceae,Combretum micranthum,100,EXACT
,Commiphora africana,Burseraceae,Commiphora africana (A. Rich.) Engl.,SPECIES,Burseraceae,Commiphora africana,100,EXACT
,Corchorus depressus,Tiliaceae,Corchorus depressus (L.) C.Chr.,SPECIES,Malvaceae,Corchorus depressus,100,EXACT
,Corchorus olitorius,Tiliaceae,Corchorus olitorius L.,SPECIES,Malvaceae,Corchorus olitorius,100,EXACT
,Corchorus tridens,Tiliaceae,Corchorus tridens L.,SPECIES,Malvaceae,Corchorus tridens,100,EXACT
,Cucumus propheratum,Cucurbitaceae,Cucumis prophetarum L.,SPECIES,Cucurbitaceae,Cucumis prophetarum,92,FUZZY
,Cynomorium coccineum,Cynomoraceae,Cynomorium coccineum Descourt.,SPECIES,Cynomoriaceae,Cynomorium coccineum,100,EXACT
,Desmidorchis acutangula,Asclepiadaceae,Desmidorchis acutangula Decne.,SPECIES,Asclepiadaceae,Desmidorchis acutangula,100,EXACT
,Euphorbia balsamifera,Euphorbiaceae,Euphorbia balsamifera Aiton,SPECIES,Euphorbiaceae,Euphorbia balsamifera,100,EXACT
,Euphorbia hirta,Euphorbiaceae,Euphorbia hirta L.,SPECIES,Euphorbiaceae,Euphorbia hirta,100,EXACT
,Euphorbia scordifolia,Euphorbiaceae,Euphorbia scordifolia Jacq.,SPECIES,Euphorbiaceae,Euphorbia scordifolia,100,EXACT
,Fagonia arabica,Zygophyllaceae,Fagonia arabica L.,SPECIES,Zygophyllaceae,Fagonia arabica,100,EXACT
,Grewia bicolor,Tiliaceae,Grewia bicolor Roth,SPECIES,Malvaceae,Grewia bicolor,100,EXACT
,Guiera senegalensis,Combretaceae,Guiera senegalensis J.F.Gmel.,SPECIES,Combretaceae,Guiera senegalensis,100,EXACT
,Hordum vulgare,Gramineae,Hordeum vulgare L.,SPECIES,Poaceae,Hordeum vulgare,94,FUZZY
,Hyoscyamus muticus,Solanaceae,Hyoscyamus muticus L.,SPECIES,Solanaceae,Hyoscyamus muticus,100,EXACT
,Hyphanea Thebaica,Arecaceae,,,,,100,NONE
,Jatropha chevalieri,Euphorbiaceae,Jatropha chevalieri Beille,SPECIES,Euphorbiaceae,Jatropha chevalieri,100,EXACT
,Lawsonia inermis,Lithraceae,Lawsonia inermis L.,SPECIES,Lythraceae,Lawsonia inermis,100,EXACT
,Leptadenia hastata,Asclepiadaceae,Leptadenia hastata Decne.,SPECIES,Asclepiadaceae,Leptadenia hastata,100,EXACT
,Leptadenia pyrotechnica,Asclepiadaceae,Leptadenia pyrotechnica Decne.,SPECIES,Asclepiadaceae,Leptadenia pyrotechnica,100,EXACT
