"basisOfRecord","occurrenceID","catalogNumber","scientificName","nomenclatureCode","family","eventDate","decimalLatitude","decimalLongitude","geodeticDatum","countryCode","locality","observer"
"HumanObservation","urn:MRBIF:ENSN:OCN:00001","1","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","18.32678","-11.55292","WGS84","MR","Ederoum","Brito JC et al.2011;Lluch, P. et al. 2004"
"HumanObservation","urn:MRBIF:ENSN:OCN:00002","2","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2007","18.48324","-11.74083","WGS84","MR","Motoboul","Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00003","3","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","18.20358","-11.73466","WGS84","MR","Taorta","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00004","4","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2007","18.15351","-12.01259","WGS84","MR","Kaimel","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00005","5","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2007","18.38643","-12.16497","WGS84","MR","Daal","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00006","6","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2007","18.27788","-12.36465","WGS84","MR","Gabbou","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00007","7","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2007","18.07665","-12.31629","WGS84","MR","Dekheïletel‘Aleïb","Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00008","8","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.94294","-12.25698","WGS84","MR","TamourtEn'Naaj","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00009","9","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","17.84979","-12.18643","WGS84","MR","Suklan","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00010","10","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","17.82126","-12.18576","WGS84","MR","Tkhsutin","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00011","11","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.73796","-12.24525","WGS84","MR","ElHousseînîya","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00012","12","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.88730","-12.11084","WGS84","MR","Matmâta","Brito JC et al.2011; Lluch, P. et al. 2004;Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00013","13","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2007","17.88730","-12.10098","WGS84","MR","Jabara","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00014","14","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.88108","-12.09400","WGS84","MR","Tartêga","Brito JC et al.2011; Lluch, P. et al. 2004;Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00015","15","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","17.87557","-12.09165","WGS84","MR","Tartêga, upstream","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00016","16","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2008","17.84634","-12.07824","WGS84","MR","Bajai","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00017","17","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.85531","-12.06884","WGS84","MR","M'cherba","Brito JC et al.2011;Lluch, P. et al. 2004"
"HumanObservation","urn:MRBIF:ENSN:OCN:00018","18","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.85244","-11.97194","WGS84","MR","Emreimida","BritoJCetal.2011"
"HumanObservation","urn:MRBIF:ENSN:OCN:00019","19","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.84638","-11.96210","WGS84","MR","Kabda","Brito JC et al.2011; Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00020","20","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","18.05349","-11.94289","WGS84","MR","TinWaadine","Brito JC et al.2011; Lluch, P. et al. 2004;Tellería, J.L. et al. 2008"
"HumanObservation","urn:MRBIF:ENSN:OCN:00021","21","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.76208","-11.88283","WGS84","MR","Ch'Bayer","Brito JC et al.2011;Lluch, P. et al. 2004"
"HumanObservation","urn:MRBIF:ENSN:OCN:00022","22","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.74163","-11.87386","WGS84","MR","Rh'Zembou","Brito JC et al.2011;Lluch, P. et al. 2004"
"HumanObservation","urn:MRBIF:ENSN:OCN:00023","23","Crocodylus niloticus, Laurenti 1768","ICZN","Crocodylidae","2009","17.70607","-11.82615","WGS84","MR","Amzouzef","Brito JC et al.2011;Lluch, P. et al. 2004"
