Famille	Genres	name	Auteurs déterminateurs
Fabaceae	Abrus	Abrus canescens 	Welw. ex Baker
Fabaceae	Abrus	Abrus precatorius 	 L.
Fabaceae	Abrus	Abrus pulchellus 	Wall. ex Thw.
Fabaceae	Acacia	Acacia albida 	Delile
Fabaceae	Acacia	Acacia ataxacantha 	DC.
Fabaceae	Acacia	Acacia auriculiformis 	A. Cunn. ex Benth.
Fabaceae	Acacia	Acacia dudgeoni 	Craib
Fabaceae	Acacia	Acacia erythrocalyx 	Brenan
Fabaceae	Acacia	Acacia farnesiana 	(L.) Willd.
Fabaceae	Acacia	Acacia gourmaensis 	A. Chev.
Fabaceae	Acacia	Acacia hockii 	De Wild.
Fabaceae	Acacia	Acacia macrostachya 	Rchb. ex Benth.
Fabaceae	Acacia	Acacia nilotica (L.) Willd. ex Del. var. adansonii	
Fabaceae	Acacia	Acacia polyacantha 	(Hochst ex A.Rich) Brenan
Fabaceae	Acacia	Acacia senegal 	(Linn.) Willd.
Fabaceae	Acacia	Acacia sieberiana 	DC.
Fabaceae	Acacia	Acacia sieberiana DC. var. villosa 	A. Chev.
Fabaceae	Acaia	Acaia kamerunensis 	Gand
Fabaceae	Adenodolichos	Adenodolichos paniculatus	 (Hua) Hutch. & Dalziel
Fabaceae	Aeschynomene	Aeschynomene nilotica 	Taub.
Fabaceae	Aeschynomene	Aeschynomene afraspera 	J. Léonard
Fabaceae	Aeschynomene	Aeschynomene indica 	L.
Fabaceae	Aeschynomene	Aeschynomene kerstingii 	Harms
Fabaceae	Aeschynomene	Aeschynomene lateritia 	Harms
Fabaceae	Aeschynomene	Aeschynomene pulchella 	Planch. ex Bak.
Fabaceae	Afzelia 	Afzelia africana 	Sm.
Fabaceae	Afzelia 	Afzelia bella 	Harms
Fabaceae	Aganope	Aganope gabonica 	(Baill.) Polhill
Fabaceae	Albizia	Albizia adianthifolia 	(Schum.) W.F.Wight
Fabaceae	Albizia	Albizia coriaria 	Welw. ex Oliv.
Fabaceae	Albizia	Albizia ferruginea 	(Guill. & Perr.) Benth.
Fabaceae	Albizia	Albizia lebbeck 	(L.) Benth.
Fabaceae	Albizia	Albizia zygia	 (DC.) J.F.Macbr.
Fabaceae	Albizia 	Albizia chinensis 	(Osb.)Merrill
Fabaceae	Alysicarpus 	Alysicarpus glumaceus 	(Vahl) DC.
Fabaceae	Alysicarpus 	Alysicarpus ovalifolius 	(Schum.) J.Léonard
Fabaceae	Alysicarpus 	Alysicarpus rugosus 	(Willd.) DC.
Fabaceae	Amphimas 	Amphimas pterocarpoides 	Harms
Fabaceae	Arachis 	Arachis hypogaea	 L.
Fabaceae	Aubrevillea	Aubrevillea kerstingii 	(Harms) Pellegr.
Fabaceae	Baphia	Baphia nitida 	Lodd.
Fabaceae	Baphia	Baphia pubescens 	Hook.f.
Fabaceae	Bauhinia 	Bauhinia acuminata 	L.
Fabaceae	Bauhinia 	Bauhinia monandra	Kurz.
Fabaceae	Bauhinia 	Bauhinia rufescens 	Lam.
Fabaceae	Bauhinia 	Bauhinia tomentosa 	L.
Fabaceae	Berlinia	Berlinia grandiflora 	(Vahl) Hutch. & Dalziel
