name	author	family	synonyms	nameFR
Acacia auriculaeformis 	A.Cunn. ex Benth.	Mimosaceae		Acacia
Acacia biflorus 	R.Br.	Mimosaceae	Racosperma biflorum (R.Br.) Pedley	
Acacia nilotica 	Delile	Mimosaceae		
Acalypha hispida 	Burm.f.	Euphorbiaceae		Acalyphe, Ricinelle, Queue de chat
Acalypha wilkesiana 	Müll. Arg.	Euphorbiaceae	Acalypha amentacea subsp. wilkesiana (Müll.Arg.) Fosberg	Acalyphe, Ricinelle, Queue de chat
Acalypha wilkesiana 	Müll. Arg. var.'java white'	Euphorbiaceae		
Acalypha wilkesiana 	Müll. Arg. var. hoffmanii	Euphorbiaceae		
Acalypha wilkesiana	 Müll. Arg. var. macrophylla	Euphorbiaceae		
Acalypha wilkesiana	 Müll. Arg. var. moorea	Euphorbiaceae		
Acalypha wilkesiana 	Müll. Arg. var. tricolor	Euphorbiaceae	Acalypha tricolor Seem.	
Acanthocereus pentagonus 	Britton & Rose 	Cactaceae	Cactus pentagonus L.; Cereus pentagonus Haw.	
Acanthus mollis	 L.	Acanthaceae	Acanthus ugandensis C.B.Clarke; A. arboreus C.B.Clarke; A. arboreus Forssk. var. pubescens ;  A. polystachyus Delile var. pseudopubescens Cufod.Thomson ex Oliv.; 	Acanthe, Acanthe molle, Branche-ursine
Acanthus pubescens 	(Thomson ex Oliv.) Engl.	Acanthaceae	A. polystachyus Delilevar. polystachyus ; A. arboreus C.B.Clarke - non Forssk.  	
Acrosticum aureum	(Thomson ex Oliv.) Engl.			
Adenium obesum 	(Forssk.) Roem. & Schult.	Apocynaceae	Nerium obesumForssk.;A. coetaneum Stapf. A. honghel A. DC.; A. arabicum Balf.f.	Rose du désert; lis des impalas, faux baobab, désert rose
Aechmea caudata 	Lindman variegata	Bromeliaceae	Ortgiesia caudata (Lindm.) L.B.Sm. & W.J.Kress	Aechmée, Aechméa victorienne
Aechmea chantinii 	Bak.	Bromeliaceae	Billbergia chantini Carrière	
Aechmea fasciata 	Bak.	Bromeliaceae		
Agave americana 	L. marginata	Agavaveae		Agave
Agave angustifolia 	Haw. var.marginata	Agavaveae		
Agave atrovirens 	L.	Agavaveae		
Agave attenuata  	L.	Agavaveae		
Agave filifera 	Salm-Dyck.	Agavaveae		
Agave victoriae-reginae	 Moore.	Agavaveae		
Aglaonema commutatum 	Schott.	Araceae		Aglaonéma
Aglaonema costatum 	N.E.Br. f. foxii R.N.Jervis	Araceae		
Aglaonema marantifolium 	Blume	Araceae		
Aglaonema modestum 	Schott  ex Engl.	Araceae		
Allamanda cathartica 	L. var. hendersonii Hort.	Apocynaceae	A. oubletii Pohl.; A. linnei Pohl.; A. williamsii Hort.; A. hendersonii W.Bull ex Dombrain	Allamanda purgative, Orélie de Guyane
Allamanda neriifolia 	Hook.	Apocynaceae		liane à lait, trompette d'or ou Orelia
Allamanda violacea 	Gardn.	Apocynaceae	Allamanda blanchetii A.DC.	
Alocasia korthalsii 	Schott	Araceae		Allamanda 
Alocasia lowii 	Hook. f.grandis	Araceae		
Alocasia macrorhiza 	Schott	Araceae		Oreille d'âne
Alocasia plumbea 	Van Houtte	Araceae	Alocasia indica Schott metallica	Oreilles d'éléphant géantes
Alocasia sanderiana	 Bull.	Araceae		Oreille d'éléphant
Aloe aristata 	Haw	Liliaceae	A. longiaristata Schult. &Schult.f.;A. aristata var. leiophylla Baker; A. aristata var. parviflora Baker ; A. ellenbergii Guillaumin	Oreille d'éléphant
Aloe brevifolia 	Mill.	Aloaceae/Xanthorrhoeaceae		Aloès
Aloe eru 	Berger 	Aloaceae	Aloe camperi Schweinf.	
Aloe eru 	Berger maculata	Aloaceae		
Aloe saponaria 	Mill.	Aloaceae		
Aloe vera 	(L.) Burm.f.	Aloaceae	Aloe vulgaris Lam. 	
Aloe vera	 L. chinensis	Aloaceae		
Alpinia purpurata 	(Vieill.) K.Schum.	Zingiberaceae	Guillainia purpurata Vieill.	
Alpinia sanderae 	Hort. Sand.	Zingiberaceae		Gingembre rouge, Galanga, Alpinie
Alpinia zerumbet 	(Pers.) B.L.Burtt & R.M. Sm. variegata	Zingiberaceae	Costus zerumbet Pers.; A. vittata W. Bull	
Alternanthera bettzickiana 	(Regel) G. Nicholson	Amaranthaceae	Telanthera bettzickiana Regel	Gingembre coquille
Alternanthera bettzickiana 	(Regel) G. Nicholson var. aurea	Amaranthaceae		Alternanthera
Alternanthera dentata 	(Moench) Scheygr.var.'Ruby'	Amaranthaceae	Gomphrena dentata Moench	
Alternanthera versicolor	Noronha	Amaranthaceae	Celosiacristata L.	
Amaranthus hybridus 	L. subsp. cruentus (L.) Thell.	Amaranthaceae	A. cruentus L.; A. hybridus subsp. cruentus (L.) Thell.;A. chlorostachys auct. - non Willd.-- misapplied name (inv); A. cruentus var. paniculatus (L.) Thell.;A. paniculatus L.; A. caudatus var. pseudopaniculatus Suess.; A. caudatus forma oblongopetalus Suess.; A. hypochondriacus var. subdubius Suess.; A. hybridus var. incurvatus auct. - sensu Brenan  	Amarante queue de renard, Blé des Incas
Amaranthus paniculatus 	L.	Amaranthaceae	A. hybridus subsp. cruentus (L.) Thell.  A. hybridusvar. paniculatus (L.) Thell.	
Amaranthus tricolor	L.	Amaranthaceae	A. tricolor subsp. tristis (L.) Aellen ; A. tristis L.;  A. inamoenus Willd.  	
Ananas comosus	 (L.) Merr. 'Porteanus'	Bromeliaceae		Crête de coq
Andryala pinnatifida	 Aiton	Asteraceae	Andryala canariensis Lowe  	Ananas
Anthurium andraeanum 	Lind. 	Araceae		
Anthurium andraeanum 	Lind. var. rhodochlorum	Araceae		Andryale
Anthurium andraeanum 	Lind. var. rubrum	Araceae		Anthurium
Anthurium clarinervium 	Schott.	Araceae		
Anthurium hookeri 	Kunth.	Araceae		
Anthurium scherzerianum 	Schott.	Araceae		
Antigonon leptopus	 Hook. & Arn.	Portulacaceae		
Aphelandra squarrosa	 Nees.	Acanthaceae		
Aptenia cordifolia 	Schwant.	Aïzoaceae	Mesembryanthemum cordifolium L.f.	Liane corail, Belle mexicaine, Chaïne d'amour
Arachnis flos-aeris	 (L.) Rchb. f.	Orchidaceae		Aphélandre, Plante zèbre
Aralia elata 	Seem.	Araliaceae	Aralia spinosa L.; Dimorphanthus elatus Miq.;	Aptenia
Aralia elata	 Seem. variegata	Araliaceae		Orchidée
Aralia fruticosa 	Sessé & Moc.	Araliaceae		
Araucaria cunninghamii 	Ait.	Araucariaceae		Aralie ailé, Angélique du Japon
Araucaria excelsa 	R. Br.	Araucariaceae		Angélique de Chine
Areca triandra 	Roxb.	Arecaceae		Araucaria, Pin à collier
Aristolochia brasiliensis	 Mart. & Zucc.	Aristolochiaceae		Pin ou Sapin de Norfolk
Aristolochia elegans 	Mast.	Aristolochiaceae		
Aristolochia fimbriata 	Cham.	Aristolochiaceae		
Aristolochia littoralis 	D. Parodi	Aristolochiaceae		
Arthropodium cirrhatum 	R.Br.	Liliaceae		
Artocarpus nobilis 	J.R. & G. Forst.	Moraceae	Artocarpus communis J. R. & G. Forst.; Artocarpus incisus L. f. ; Radermachia incisa Thunb.; Sitodium altile Parkinson	
Asclepias curassavica 	L.	Asclepiadaceae	Asclepias margaritacea Hoffmanns.  A. nivea L. var. curassavica (L.) Kuntze	
Asparagus densiflorus 	(Kunth) Jessop sprengeri	Liliaceae	Asparagopsis densiflora Kunth	Arbre à pin, Châtaignier-pays
Asparagus plumosus 	Bak.	Liliaceae	Protasparagus plumosus (Bak.) Oberm.	Asclépiade de Curaçao
Asparagus scandens 	Bak. deflexus	Liliaceae		Asparagus
Asparagus sprengeri 	Bak. 	Liliaceae		Asparagus des fleuristes
Asplenium nidus 	L.	Aspleniaceae	Asplenium scalapendrium Lour. ; AspleniumficifaliumGoldm. ; Thamnapteris nidus (L.) C. Presl.;A. ellipticum (Fee) Cop.	Fougère
Asplenium viviparum 	(L.fil.) C.Presl	Aspleniaceae		
Averrhoa carambola 	L.	Oxalidaceae		
Azadirachta indica 	A. Juss.	Meliaceae	Melia azadirachta L.	Fougère nid d'oiseau
Bambusa multiplex	 (Lour.) Raeusch. ex Schult. & Schult.f.	Poaceae	Arundo multiplex Lour.	
Bambusa nana 	Roxb.	Poaceae		Margousier, Neem
Bambusa vulgaris 	Schrader ex Wendl.	Poaceae		Bambou
Barleria lupulina 	Lindl.	Acanthaceae		
Begonia aconitifolia 	Lam.	Begoniaceae		
Begonia cathayana 	Hemsl.	Begoniaceae		
Begonia cleopatra 	Lem.	Begoniaceae		
Begonia decora 	Stapf. rhizomatous	Begoniaceae		Begonia
Begonia deliciosa 	Linden ex Fotsch	Begoniaceae		
Begonia exotica 	Lem.	Begoniaceae		
Begonia heracleifolia 	Cham. & Schltdl.	Begoniaceae		
Begonia lucerna 	Blume.	Begoniaceae		
Begonia masoniana 	Irmsch.	Begoniaceae		
Begonia semperflorens 	Hook.	Begoniaceae		
Beloperone guttata 	Brandegee	Acanthaceae		
Billbergia zebrina 	Lindl.	Bromeliaceae		
Bismarckia nobilis 	Hildebr. & H.Wendl.	Arecaceae		Plante aux crevettes; Queue d'écrevisse
Borassus aethiopum 	Mart.	Arecaceae		
Bougainvillea glabra 	Choisy	Nyctagynaceae	Bougainvillea spectabilis Willd.  var. glabra (Choisy) Hook.	Palmier de Bismarck
Bougainvillea harisii 	Hort.	Nyctagynaceae		Rônier, Borasse éthiopien
Bougainvillea spectabilis 	Willd.	Nyctagynaceae	Bougainvillea spectabilis Willd. var. typica Heimerl	Bougainvillier
Bougainvillea spectabilis 	Willd. var. ‘Mary Palmer	Nyctagynaceae		
Bougainvillea spectabilis 	Willd. var. rubra plena	Nyctagynaceae		
Bougainvillea spectabilis 	Willd. var. variegata	Nyctagynaceae		
Bougainvillea spectabilis 	Willd. var.alba plena	Nyctagynaceae		
Bougainvillea x buttiana 	Holtt. var. Mrs. McLean	Nyctagynaceae		
Brahea armata	 Wats.	Arecaceae	Brahea clara (L.H.Bailey) Espejo & López-Ferr.; Brahea roezlii Lind; Erythea armata S. Watson ; Erythea elegans Franceschi ex Becc.	
Brahea dulcis 	L.	Arecaceae		
Breynia nivosa 	Small.	Euphorbiaceae	Phyllanthus nivosus W.G.Sm.	
Caesalpinia pulcherrima 	Sw.	Caesalpiniaceae	Poinciana pulcherrima L.  	
Caladium bicolor 	Vent.	Araceae		
Caladium hortulanum 	Birdsey 'Citation'	Araceae		Orgeuil de Chine; Petit flamboyant
Caladium hortulanum 	Birdsey 'Debutante'	Araceae		caladium
Caladium hortulanum 	Birdsey 'Gen. W.B. Halderman'	Araceae		Cœur de Jésus
Caladium hortulanum 	Birdsey 'John Peed'	Araceae		
Caladium hortulanum 	Birdsey 'Maid of Orleans'	Araceae		
Calathea insignis	A.Brongn. ex Petersen	Marantaceae		
Calathea makoyana 	E.Morr. & Boom	Marantaceae		Calathea
Calathea micans .	K. Schum	Marantaceae		
Calathea ornata 	Koern.	Marantaceae	Maranta roseo-lineata Petersen.	
