Acacia auriculaeformis ,A.Cunn. ex Benth.,Mimosaceae,,Acacia,Acacia auriculaeformis Benth.,SPECIES,Fabaceae,Acacia auriculaeformis,100,EXACT
Acacia biflorus ,R.Br.,Mimosaceae,Racosperma biflorum (R.Br.) Pedley,,Acacia biflora R.Br.,SPECIES,Fabaceae,Acacia biflora,95,FUZZY
Acacia nilotica ,Delile,Mimosaceae,,,Acacia nilotica (L.) Delile,SPECIES,Fabaceae,Acacia nilotica,100,EXACT
Acalypha hispida ,Burm.f.,Euphorbiaceae,,"Acalyphe, Ricinelle, Queue de chat",Acalypha hispida Burm. f.,SPECIES,Euphorbiaceae,Acalypha hispida,100,EXACT
Acalypha wilkesiana ,Müll. Arg.,Euphorbiaceae,Acalypha amentacea subsp. wilkesiana (Müll.Arg.) Fosberg,"Acalyphe, Ricinelle, Queue de chat",Acalypha wilkesiana Müll.Arg.,SPECIES,Euphorbiaceae,Acalypha wilkesiana,100,EXACT
Acalypha wilkesiana ,Müll. Arg. var.'java white',Euphorbiaceae,,,Acalypha wilkesiana Müll.Arg.,SPECIES,Euphorbiaceae,Acalypha wilkesiana,100,EXACT
Acalypha wilkesiana ,Müll. Arg. var. hoffmanii,Euphorbiaceae,,,Acalypha wilkesiana Müll.Arg.,SPECIES,Euphorbiaceae,Acalypha wilkesiana,100,EXACT
Acalypha wilkesiana, Müll. Arg. var. macrophylla,Euphorbiaceae,,,Acalypha wilkesiana Müll.Arg.,SPECIES,Euphorbiaceae,Acalypha wilkesiana,100,EXACT
Acalypha wilkesiana, Müll. Arg. var. moorea,Euphorbiaceae,,,Acalypha wilkesiana Müll.Arg.,SPECIES,Euphorbiaceae,Acalypha wilkesiana,100,EXACT
Acalypha wilkesiana ,Müll. Arg. var. tricolor,Euphorbiaceae,Acalypha tricolor Seem.,,Acalypha wilkesiana Müll.Arg.,SPECIES,Euphorbiaceae,Acalypha wilkesiana,100,EXACT
Acanthocereus pentagonus ,Britton & Rose ,Cactaceae,Cactus pentagonus L.; Cereus pentagonus Haw.,,Acanthocereus pentagonus (L.) Britt. & Rose,SPECIES,Cactaceae,Acanthocereus pentagonus,100,EXACT
Acanthus mollis, L.,Acanthaceae,Acanthus ugandensis C.B.Clarke; A. arboreus C.B.Clarke; A. arboreus Forssk. var. pubescens ;  A. polystachyus Delile var. pseudopubescens Cufod.Thomson ex Oliv.; ,"Acanthe, Acanthe molle, Branche-ursine",Acanthus mollis L.,SPECIES,Acanthaceae,Acanthus mollis,100,EXACT
Acanthus pubescens ,(Thomson ex Oliv.) Engl.,Acanthaceae,A. polystachyus Delilevar. polystachyus ; A. arboreus C.B.Clarke - non Forssk.  ,,Acanthus pubescens Engl.,SPECIES,Acanthaceae,Acanthus pubescens,100,EXACT
